names	A_loading	AUCs	corrs	color
SNA_ClassI.10	1	0.5125	0.0215498557960308	Red
SNA_ClassII.3	1	0.5	0	White
IgM_ClassII.5.87.	0.164528600956095	0.54375	0.0755024534415805	Red
IgG3_MICA.2.100.	0.128990686687326	0.3	-0.345690721149406	Blue
SNA_ClassI.5	0.126739696560991	0.75	0.430997115920616	Red
IgG3_ClassI.3.15.	0.104354818722346	0.5	0	White
IgM_MICA.2.100.	0.0746072647224008	0.45	-0.0862885182189492	Blue
IgG1_MICA.1.99.	0.0653091512846608	0.69375	0.336286171469091	Red
RCA_ClassI.10	0.0539948497850065	0.5875	0.150848990572215	Red
IgG3_ClassI.7.31.	0.0511129581536272	0.56875	0.118585412256314	Red
IgM_ClassI.5.19.	0.0136742481019162	0.80625	0.528517174091064	Red
IgM_ClassI.6.24.	0.0502528817024022	0.5875	0.150848990572215	Red
IgG1_ClassII.5.87.	0.0245662728953456	0.58125	0.140582763927565	Red
