names	A_loading	AUCs	corrs	color
C1Q_ClassI.3	1	0.296296296296296	-0.35337091141178	Blue
C1Q_ClassI.10	1	0.382716049382716	-0.203771659827799	Blue
C1Q_ClassII.5	1	0.351851851851852	-0.25873849094126	Blue
C1Q_ClassI.8	0.830318531915774	0.358024691358025	-0.246670956633652	Blue
C1Q_ClassI.1	0.530204387960259	0.209876543209877	-0.503545738117693	Blue
C1Q_Mica.1	0.378472233757264	0.277777777777778	-0.387702401850743	Blue
C1Q_ClassI.4	0.354837782102167	0.327160493827161	-0.299984695048838	Blue
C1Q_ClassI.12	0.230447688374595	0.41358024691358	-0.150225315328585	Blue
C1Q_ClassI.6	0.202001462161972	0.234567901234568	-0.460928926325438	Blue
C1Q_ClassI.5	0.19912821013378	0.358024691358025	-0.246288817044574	Blue
IgG_ClassII.1.77.	0.0887973384836715	0.567901234567901	0.117790303803927	Red
IgG3_ClassI.9.47.	0.00520065377175999	0.444444444444444	-0.0967741935483871	Blue
C1Q_ClassII.2	0.172821733949466	0.438271604938272	-0.107248242014631	Blue
IgG3_ClassI.10.54.	0.0603581926139777	0.320987654320988	-0.310698434157725	Blue
